报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),526180,435078,311080,230911,226604,170498,148224,106669,65796,34608,20529,14186,6685,
营业收入(万元),526180,435078,311080,230911,226604,170498,148224,106669,65796,34608,20529,14186,6685,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),407627,332233,236727,171250,157701,115087,97945,73496,44054,23863,14392,10562,4899,
营业成本(万元),180070,140692,102415,82207,76421,58001,52327,39070,23582,12297,7553,5633,3079,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),12604,10349,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),5884,6313,4571,3800,2763,2198,1820,1103,744,336,207,125,9,
销售费用(万元),165040,128008,97327,63885,61861,39704,31702,26589,18085,8579,4580,2976,1083,
管理费用(万元),42963,40091,30603,24447,21339,17673,15397,10095,5128,2761,2023,1810,803,
财务费用(万元),1067,-2120,-4623,-4311,-5125,-4387,-3439,-3557,-3639,-151,17,6,-2,
资产减值损失(万元),--,8900,6435,1221,442,1898,136,196,153,41,13,12,-74,
公允价值变动收益(万元),-495,--,--,--,--,--,--,--,--,--,0,6,-6,
投资收益(万元),1845,4798,12587,3922,3180,--,--,--,--,--,0,-135,7,
对联营企业和合营企业的投资收益(万元),-1064,-554,-510,-1192,--,--,--,--,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),-46542,110260,87836,63583,72083,55411,50279,33173,21742,10745,6137,3495,1787,
营业外收入(万元),4662,4816,2137,2827,3137,4183,1136,626,415,105,39,2,2,
营业外支出(万元),607,2177,1472,1038,1225,370,1095,679,164,61,40,51,221,
非流动资产处置损失(万元),--,--,--,712,54,97,521,368,10,1,22,8,203,
利润总额(万元),-42487,112899,88500,65372,73996,59224,50321,33120,21993,10790,6135,3446,1568,
所得税费用(万元),-982,22056,11820,14606,11962,8964,8152,5085,3349,1580,918,776,355,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),-41505,90843,76681,50765,62034,50259,42169,28035,18644,9211,5217,2671,1213,
归属于母公司所有者的净利润(万元),-35589,100218,76626,53521,63550,50259,42169,28035,18644,9211,5217,2671,1213,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,0,-67,-644,
少数股东损益(万元),-5916,-9375,55,-2756,-1516,--,--,--,--,--,0,0,0,
基本每股收益,-0.24,0.69,0.52,0.37,0.89,0.77,1.29,1.28,1.7,2.25,1.45,0.89,9.33,
稀释每股收益,-0.24,0.69,0.52,0.37,0.89,0.76,1.28,1.28,1.7,2.25,1.45,0.89,9.33,
